    4 tracks |   2 artists | /data/Music/CONTEMPORARY/Paul McCartney/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/BB King/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Beyonce/Billboard Top 100 of 2004
    3 tracks |   3 artists | /data/Music/CONTEMPORARY/Don McLean/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Eurythmics/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Folk/The Grand Gaelic Concert
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Frankie Goes to Hollywood/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Guns N Roses/Billboard Top 100 of 1989
    3 tracks |   3 artists | /data/Music/CONTEMPORARY/Iggy & The Stooges/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Manu Chao/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Mary J Blige/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Omd/Unknown Album
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Portishead & DJ Shadow/Unknown Album
    3 tracks |   3 artists | /data/Music/CONTEMPORARY/Prince/Diamonds And Pearls
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/Sinéad O'Connor/Throw Down Your Arms
    3 tracks |   2 artists | /data/Music/CONTEMPORARY/St Germain/Tourist - Remixs
    3 tracks |   3 artists | /data/Music/CONTEMPORARY/Stan Getz/History Of Jazz 50's-90's
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Beautiful Girls (Single)
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Beyonce/Billboard Top 100 Hits Of 2003
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Clannad/Highlands
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Compilations/Compilation 1
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Deus/Unknown Album
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Folk/Stornoway Mòd 1979
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Gonzalez/Open Season_ Remixes & Collabs
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Gotan Project/Unknown Album
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/House of Pain/Unknown Album
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Ice Cube/Unknown Album
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/JAY-Z/Billboard Top 100 Hits Of 2003
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Louis Armstrong/History Of Jazz 50's-90's
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/MInistry of sound/Unknown Album
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Sia/Unknown Album
    2 tracks |   2 artists | /data/Music/CONTEMPORARY/Stan Getz/Unknown Album
    1 tracks |   2 artists | /data/Music/CONTEMPORARY/St Germain/Mezzotinto EP
