library,path,issue,value
CLASSICAL,/data/Music/CLASSICAL/Borodin - Polovtsian Dances/Borodin - Polovtsian Dance No. 1.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Borodin - Polovtsian Dances/Borodin - Polovtsian Dance No. 1.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Borodin - Polovtsian Dances/Borodin - Polovtsian Dances.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Borodin - Polovtsian Dances/Borodin - Polovtsian Dances.mp3,missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Borodin - Polovtsian Dances/Borodin - Prince Igor, Polovtsian Dances 8 and.mp3",missing_tracknumber,
CLASSICAL,"/data/Music/CLASSICAL/Borodin - Polovtsian Dances/Borodin - Prince Igor, Polovtsian Dances 8 and.mp3",missing_date,
CLASSICAL,/data/Music/CLASSICAL/Brahms/Brahms/00 - Choralespiele  Op. 122 #10 BRA.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Brahms/Brahms/00 - Choralespiele Op. 122 #9 Johan.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Brahms/Brahms/The Music Bible - Brahms' Lullaby.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Brahms/Brahms/The Music Bible - Wiegenlied ( Brahms' Lullaby).mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/Choir of The Russian Church - Lord Hear My Prayer.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/Choir of The Russian Church - Lord Hear My Prayer.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/From Vinyl Record/Solo G. Pavlenko - I Believe (The Creed).flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/From Vinyl Record/Solo G. Pavlenko - I Believe (The Creed).flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/Solo G. Pavlenko - I Believe (The Creed).flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/Solo G. Pavlenko - I Believe (The Creed).flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/Solo G. Pavlenko - I Believe (The Creed).ogg,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/Solo G. Pavlenko - I Believe (The Creed).ogg,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/01 - Scherezade - Festival at Baghdad.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/02 - Beethoven - Moonlight Sonata.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/03 - Mozart - Rondo.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/04 - Berlioz - March to the Scaffold.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/05 - Handel - Fireworks Bourree.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/07 - Chopin - Piano Concerto No1.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/08 - Tchaikovski - Symphony No 6 Pathetique.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/09 - Handel - Water Music - Bourree.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters/10 - Chopin - Eyudes Op 10 No 1.mp3,missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Compilation CDs/Classical Love/201 Chopin - Etude Op10, No3 - Berezovsky.mp3",missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Love/205 Bach - Prelude in C major - Nordman.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Love/206 Tchaikovsky - Romeo and Juliet Fantasy Overture.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Love/207 Liszt - Lieberstraum - Queffelec.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Die Moldau - André Previn - LA Philharmonic/001 - Glinka - Russlan and Ludmilla.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Proms Classics/01 - Berlioz - The Roman Carnival.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Proms Classics/02 - Faure - Pavane.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Proms Classics/03 - Massenet - Meditation from Thais.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Proms Classics/07 - Saint-Saens Rondo Capriccioso Op 28.mp3,missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/01.- Cockaigne Overture ''In London Town'', Op. 40.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/02.- Introduction and Allegro for strings in G major, Op. 47.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/03.- Serenade in E minor, Op. 20- I. Allegro piacevole.flac",missing_albumartist,
