library,folder,tracks,artist_count,albumartist_count,album_count,date_count,candidate_reason,existing_albumartist_state,quality_score,flags
CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/B'Day,5,2,1,3,1,multiple_distinct_track_artists,single,73,multiple_artists;multiple_album_tags
CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/Billboard Top 100 Hits Of 2003,2,2,0,1,1,multiple_distinct_track_artists,missing,83,multiple_artists;missing_albumartist
CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/Billboard Top 100 of 2004,3,2,0,1,1,multiple_distinct_track_artists,missing,82,multiple_artists;missing_albumartist
CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/I Am...Sasha Fierce,17,2,0,2,1,multiple_distinct_track_artists,missing,54,multiple_artists;missing_albumartist;multiple_album_tags
CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/Unknown Album,9,7,0,0,1,multiple_distinct_track_artists,missing,14,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Billie Holiday/Unknown Album,5,2,0,0,1,multiple_distinct_track_artists,missing,14,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas/Monkey Business,34,2,1,1,2,multiple_distinct_track_artists,single,73,multiple_artists;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas/Unknown Album,8,3,0,0,1,multiple_distinct_track_artists,missing,14,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/African Herbsman,12,2,2,1,3,multiple_distinct_track_artists,multiple,68,multiple_artists;multiple_albumartists;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Antologia,19,2,1,1,1,multiple_distinct_track_artists,single,89,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Babylon By Bus,11,2,2,1,1,multiple_distinct_track_artists,multiple,73,multiple_artists;multiple_albumartists
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Burnin',27,3,1,1,2,multiple_distinct_track_artists,single,76,multiple_artists;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Chant Down Babylon,15,15,1,1,1,multiple_distinct_track_artists,single,81,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Confrontation,27,2,1,1,2,multiple_distinct_track_artists,single,73,multiple_artists;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Exodus,13,3,1,1,1,multiple_distinct_track_artists,single,81,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Kaya,9,2,2,1,1,multiple_distinct_track_artists,multiple,81,multiple_artists;multiple_albumartists
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Legend,31,3,2,1,9,multiple_distinct_track_artists,multiple,65,multiple_artists;multiple_albumartists;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Natty Dread,9,2,1,1,2,multiple_distinct_track_artists,single,86,multiple_artists;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Rastaman Vibration,13,3,1,1,1,multiple_distinct_track_artists,single,92,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Rebel Music,17,2,1,1,2,multiple_distinct_track_artists,single,77,multiple_artists;multiple_dates
CONTEMPORARY,"/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Rock To The Rock_ The Complete Bob Marley & The Wailers 1967-1972, Vol.1",16,3,1,2,1,multiple_distinct_track_artists,single,81,multiple_artists;multiple_album_tags
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Survival,18,3,0,1,1,multiple_distinct_track_artists,missing,69,multiple_artists;missing_albumartist
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Unknown Album,15,3,0,0,2,multiple_distinct_track_artists,missing,6,multiple_artists;missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Sinclair/Unknown Album,9,4,0,0,1,multiple_distinct_track_artists,missing,14,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Brigitte Bardot - The Best of Bardot,20,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Bryan Ferry/Ultimate Collection [EG],15,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Cafe Ibiza,30,30,0,3,9,multiple_distinct_track_artists,missing,46,multiple_artists;missing_albumartist;multiple_album_tags;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/Café del Mar/20th Anniversary (Disk 2),4,2,0,2,2,multiple_distinct_track_artists,missing,54,multiple_artists;missing_albumartist;multiple_album_tags;multiple_dates
